,ship_to_name,ship_to_name_Kfold_Target_Enc
334,WIJAYA KARYA BETON - CLT,854.0665266106446
335,PT. APHASKO UTAMA JAYA,1100.0
336,PROYEK JALUR KA LINTAS MAKASSAR,922.1
337,ANEKA BATU PERSADA,953.0
338,BETON MEGAH PERKASA SETIA,1150.578847252578
339,PT. BUMI SARANA BETON,890.0
340,PT. CARLY ALFA TIMUR,960.0
341,CISCO SINAR JAYA,964.6153846153846
342,PT. KAKANTA,960.0
343,PT. MAKASSAR BETON PERKASA,958.8888888888889
344,NINDYA KARYA PLANT KARALLOE,1046.0833333333333
345,OPTIMA JAYA PERKASA,955.7142857142857
346,BETON PERKASA CEMERLANG,992.0
347,PRIMA KARYA MANUNGGAL,948.8888888888889
348,RMC Garton BP Makassar,990.0
349,PT. WIN WAHANA CIPTA MARGA,796.6666666666666
350,PT. SUPER BETON PERSADA,980.0
351,TIMUR UTAMA SAKTI,955.7142857142857
352,TRI STAR MANDIRI,968.8888888888889
353,Proyek WBP B.Plant SHIAM,1150.578847252578
354,PROYEK BANDARA HASANUDDIN,1150.578847252578
355,PALU,1150.578847252578
356,MEGA BETON JAYA,1150.0
357,PT. Super Beton Perdana,1252.3809523809523
358,PROYEK JEMBATAN ASARA & RAHABANGGA,1275.0
359,PROYEK BENDUNGAN LADONGI,1078.8949293967448
360,PT. PRIMA KARYA MANUNGGAL RMC,1042.2222222222222
361,PT. SULAWESI READYMIX,748.1818181818181
362,Pry Apron Bandara Haluoleo Kendari,1020.0
363,PT. NUSANTARA SEJAHTERA BERSAMA,1213.8461538461538
364,PROYEK TOL MANADO BITUNG,1242.2191111111113
365,PT. KINGSTON SULUTINDO,1200.0
366,PT. REVIVAL PUTRA TUNGGAL,1150.578847252578
367,PT.CONBLOC INDONESIA SURYA,1200.0
368,Batching Plant PT Panca Mulia Beton,1044.1666666666667
369,PT MODERN WIDYA TECHNICAL,1270.0
370,Pryk PT Nindya Beton Tol Pdg Sccn,1015.0
371,PT Perkasa Beton,1063.4128591641577
372,Star Indonesia Readymix,1011.3636363636364
373,PT TIARA TELUK JAYA,897.9166666666666
374,BP TLB Kota Padang,1068.241636139996
375,PT Waskita Beton Precast(Plnt Jakab,1118.0
376,Pryk Tol Indrpra PT Agung Beton-SBA,1290.6666666666667
377,"ABADI BETON PERKASA, PT",1234.15625
378,AYU SEPTA PERDANA PEMATANG SELENG,1462.0
379,"BHARATA BETON , PT",1263.8235294117646
380,"DEXTONINDO PERSADA, PT",1221.816993464053
381,PT. Era Karya Konstruksi N-SBA,759.96875
382,Pry Tol TbTinggi Seber HKA SBA,1315.0
383,PT. Jaya Beton Indonesia-SBA,1324.0
384,KREASIBETON ASAHAN III,1300.6666666666667
385,CV. Mitra Abadi Nusantara-SBA,1347.8125
386,PANGERAN BETON,1250.4
387,Proyek Ton Indrapura Kisaran PO 1,1150.578847252578
388,PT Promosi Andalan,804.375
389,"ARJAYA ADIKARA NUSANTARA, PRJ, TEB",1150.578847252578
390,PT. Sumbetri Megah-SBA,1300.0
391,PT. Unggul Sejati Ind SBA,1229.0
392,Pryk Tol WBP BP Purbasari Serbelawa,1390.0
393,PT. Wika Beton-SBA,1182.5
396,"BEURATA SUBUR PERKASA, PT",1380.3924107756
398,"LHOKNGA BETON, BNA",950.9264877629931
399,"SOKI RANA LABA, PT",0.0
402,RDM KRESNA JAYA PERKASA,1055.0
403,RDM MERAK BETON PERKASA PT,1150.578847252578
404,RDM SARI SENTANA ARKA,1030.0
405,RDM SCG READYMIX INDONESIA,1000.0
406,RDM SINAR BALI BINAKARYA,1048.6363636363637
410,ARTHA MULIA SEJATI,805.0
413,"CIPTA MORTAR UTAMA,PT-PLANT CIKANDE",677.0788634684407
416,RDM DWI BETON INDONESIA,1150.578847252578
418,INTERCON JAYA BERSAMA,810.0
420,ZEROWEIS BATAVIA MARKETING PT.,778.8333333333334
421,"PRY LIGNO SPECIALTY CHEMICALS, PT",900.0
422,LOGAM INTI UTAMA SENTOSA,790.0
423,MAJU JAYA MANDIR PT.,1150.578847252578
424,MIRANILA ABADI PT,829.2857142857143
425,PBR MODERN PANEL INDONESIA PT.,0.0
426,REKAGUNATEK PERSADA - PLAN PT.,800.0
427,TRIPALINDO PERKASA PT.,785.3333333333334
429,PT Benteng Beton,0.0
430,RDM Agung Beton P U Tol Bengkulu,1150.0
432,BEJO LUMINTU MINULYO PT.,472.5
433,"PBR DIAMOND BARU, PT",489.05357142857144
434,RDM INTI BETON,460.0
435,PBR KARYA SEHATI UTAMA,934.2857142857143
437,PBR GENTENG MUTIARA,869.0
439,PBR VENTURI TANI MANDIRI,903.561617686974
441,PRY PIK JKT / ADHIMIX RMC,775.0
442,JM MUTU UTAMA PT. C/O BJ,1150.578847252578
444,TORSINA REDIKON PT. (PULOGADUNG),765.625
445,PT Abun Sendi,1220.0
446,PT. Bata Ringan Sumatera,1220.0
447,PT Air Tenang Kerinci,1250.0
448,PT Igasar Semen Padang,1220.0
449,PT Kalyana Mitra Makmur,1230.0
450,PT Mitra Sukses Wijaya Beton,1095.6
451,PT Muria Jaya Beton,1315.0
452,PT Pili & Tris Sunas,1230.0
453,RDM ADHIMIX CIBITUNG,1150.578847252578
454,RDM AGUNG BETON PL DEPOK,810.0
458,AZKA SEJAHTERA PT,1150.578847252578
459,BASF ( CIKARANG ),1150.578847252578
460,PT RAHARJO PERKASA MULTIKARYA,800.0
461,RDM BERDUA MULTI NIAGA,844.5454545454545
463,BOGOR PERSADA INDONESIA PT.,880.0
464,BUKITAPIT BUMI PERSADA PT.,1150.578847252578
465,CONWOOD INDONESIA PT.,837.6923076923077
468,DUTA SARANA.PT ( II ),820.0
471,FOSROC INDONESIA.PT,862.8571428571429
472,GUNA BANGUN JAYA (LEMKRA),860.0
473,PT ONDO METAL INDONESIA,1150.578847252578
474,PBR JAYA BETON INDONESIA,698.3333333333334
475,JAYACON BERSAUDARA PT,810.0
476,RDM JONGGOL KARYA SEMESTA,883.9787965777157
477,KOMPONINDO.B (CIKARANG),812.0588235294117
480,POLA BETON PANTONGRAHA PT.,1150.578847252578
483,PBR SAGAINDO JAYA ABADI,763.6463183921848
484,SCG PIPE AND PRECAST INDONESIA PT,1260.0
490,RDM TRI MUKTI PERTAMA PUTRA,860.0
491,RDM USI BETON PATIMBAN PORT,1150.578847252578
492,USI BETON PLANT CIMALAKA,800.0
493,USI PLANT PELABUHAN PATIMBAN,800.0
494,RDM WIKA BETON/SUBANG,786.59375
496,PBR ANEKA BANGUNAN SARANA GROUP,879.9999999700001
497,ARIES PUTRA BETON,1150.578847252578
498,RDM ARIES PUTRA BETON,839.5489999762559
499,RDM ARISTA KARYA PL GEMOLONG/AK,1150.578847252578
503,RDM BAYU MURTI YASA / BMY,807.8571428342858
504,RDM BERKAH WIJAYA / BW,869.9999999781819
505,RDM BBM PLANT RANDUBLATUNG,836.5
506,"RDM BETON BUDI MULYA, PT",879.1666666666666
507,RDM BINTANG BUMI PERKASA,879.99999998875
508,PBR BUMI ARTHA SAMUDRA,954.0
509,"RDM BUMI REJO TIRTA KENCANA, PT",1150.578847252578
510,RDM CAHAYA SELO MUKTI BARU,873.9999999759999
512,RDM DEWI RATIH PUTERA,866.3633607129075
515,RDM GADING KENCANA MULYA,807.0769230607693
516,PRY HEIBEI JIANKAN/GROBOGAN,868.0
518,INAX INTERNATIONAL CORPORATION PT.,900.0
519,PRY PABRIK SJI / JAYA SAKTI BETON,1150.578847252578
522,RDM JUJUR JAYA BANGKIT,847.1703518125616
525,RDM KH BETON,924.0
527,PBR MARWANI INDAH,974.0
528,RDM MOHANDAS OELOEN,869.9999999600002
529,"RDM NEW CAKTI, PT",879.9999999700001
530,RDM NURCAHYA JAYA LESTARI BETON,864.9999999624999
532,"NUSANTARA BUILDING INDUSTRIES,",836.0
533,PABRIK GENTENG ARCON,958.3333333333334
536,RDM PUTRA ANUGRAH,910.0
537,PBR KURNIA ALAM SEJAHTERA,93.0
538,RDM RADIK JAYA BETON / RJB,667.5
539,PBR RAGAM USAHA PRIMA PT,981.6666666666666
540,RDM RATNA SANTI LESTARI MAKMUR,869.9999999748163
541,"RDM RODA JAYA PERSADA, PT",900.0
542,PBR SA UTAMA PT,970.0
543,PBR SAHABAT MEMBANGUN (MORTAR ESTRI,893.5714285714286
544,RDM SAMBAS BETON,910.0
545,RDM SATRIA SAFIRA GROUP,856.1538461230768
